33	11	3	-1
53	5	0	-1
85	18	4	-1
89	67	7	-1
79	32	0	-1
29	64	0	-1
33	63	7	-1
57	74	1	-1
34	41	3	-1
88	14	3	-1
67	63	1	-1
49	85	2	-1
54	8	7	-1
29	13	3	-1
40	15	7	-1
72	73	1	-1
87	22	7	-1
54	34	8	-1
88	51	7	-1
54	47	7	-1
30	34	0	-1
56	13	3	-1
71	58	4	-1
36	66	7	-1
31	64	5	-1
62	22	5	-1
46	91	2	-1
34	11	4	-1
36	91	5	-1
53	1	2	-1
45	58	0	-1
68	65	7	-1
64	10	2	-1
66	5	5	-1
55	21	1	-1
58	13	2	-1
41	33	1	-1
86	10	2	-1
82	54	5	-1
39	37	8	-1
46	18	4	-1
90	92	7	-1
61	11	4	-1
92	24	3	-1
39	10	2	-1
72	17	4	-1
89	60	1	-1
70	91	7	-1
61	4	5	-1
43	1	5	-1
74	17	8	-1
53	9	1	-1
48	22	1	-1
41	28	1	-1
43	47	7	-1
55	16	2	-1
92	85	7	-1
63	39	7	-1
45	18	4	-1
37	3	0	-1
39	49	7	-1
31	79	5	-1
47	80	0	-1
75	45	7	-1
59	13	3	-1
44	35	5	-1
47	12	2	-1
43	35	0	-1
31	50	0	-1
89	76	7	-1
61	53	7	-1
63	34	8	-1
60	75	7	-1
74	43	0	-1
76	10	2	-1
38	2	0	-1
37	15	7	-1
62	82	7	-1
78	39	7	-1
69	24	1	-1
45	63	5	-1
56	75	2	-1
57	18	3	-1
47	75	5	-1
60	9	6	-1
85	21	5	-1
43	10	2	-1
36	6	8	-1
71	76	7	-1
54	12	2	-1
34	68	2	-1
44	52	0	-1
42	37	0	-1
59	59	4	-1
39	4	5	-1
78	89	8	-1
55	18	7	-1
57	13	3	-1
40	26	0	-1
54	72	7	-1
61	15	7	-1
52	64	5	-1
30	65	2	-1
69	48	8	-1
36	12	5	-1
89	43	1	-1
56	34	8	-1
74	75	7	-1
91	42	7	-1
54	38	4	-1
91	50	7	-1
75	67	0	-1
29	5	0	-1
56	35	1	-1
38	7	0	-1
80	32	0	-1
50	57	7	-1
53	14	7	-1
65	72	1	-1
73	74	1	-1
83	72	3	-1
58	89	7	-1
