(62, 20, 1)	nan
(62, 35, 8)	(35, 20, 5)	nan
(62, 35, 8)	(35, 20, 7)	nan
(62, 35, 8)	(35, 74, 5)	(74, 20, 5)	nan
(62, 35, 8)	(35, 74, 5)	(74, 20, 2)	nan
(62, 35, 8)	(35, 56, 1)	(56, 20, 2)	nan
(62, 35, 8)	(35, 56, 1)	(56, 20, 5)	nan
(62, 35, 8)	(35, 56, 1)	(56, 20, 5)	nan
(62, 35, 8)	(35, 52, 3)	(52, 20, 5)	nan
(62, 35, 8)	(35, 52, 3)	(52, 20, 5)	nan
(62, 35, 8)	(35, 52, 3)	(52, 20, 7)	nan
(62, 35, 8)	(35, 52, 3)	(52, 20, 1)	nan
(62, 35, 8)	(35, 75, 7)	(75, 20, 5)	nan
(62, 35, 8)	(35, 75, 7)	(75, 20, 7)	nan
(62, 81, 7)	(81, 20, 5)	nan
(62, 81, 7)	(81, 20, 5)	nan
(62, 81, 7)	(81, 29, 8)	(29, 20, 5)	nan
(62, 81, 7)	(81, 29, 8)	(29, 20, 5)	nan
(62, 81, 7)	(81, 29, 8)	(29, 20, 4)	nan
(62, 81, 7)	(81, 29, 7)	(29, 20, 5)	nan
(62, 81, 7)	(81, 29, 7)	(29, 20, 5)	nan
(62, 81, 7)	(81, 29, 7)	(29, 20, 4)	nan
(62, 81, 7)	(81, 29, 1)	(29, 20, 5)	nan
(62, 81, 7)	(81, 29, 1)	(29, 20, 5)	nan
(62, 81, 7)	(81, 29, 1)	(29, 20, 4)	nan
(62, 81, 7)	(81, 76, 0)	(76, 20, 5)	nan
(62, 81, 7)	(81, 85, 0)	(85, 20, 5)	nan
(62, 81, 7)	(81, 69, 0)	(69, 20, 5)	nan
(62, 81, 7)	(81, 69, 0)	(69, 20, 5)	nan
(62, 81, 7)	(81, 69, 0)	(69, 20, 5)	nan
(62, 65, 2)	(65, 79, 5)	(79, 20, 5)	nan
(62, 65, 2)	(65, 79, 5)	(79, 20, 6)	nan
(62, 65, 2)	(65, 35, 1)	(35, 20, 5)	nan
(62, 65, 2)	(65, 35, 1)	(35, 20, 7)	nan
(62, 65, 2)	(65, 71, 1)	(71, 20, 5)	nan
(62, 65, 2)	(65, 71, 1)	(71, 20, 8)	nan
(62, 65, 2)	(65, 83, 0)	(83, 20, 5)	nan
(62, 65, 2)	(65, 83, 0)	(83, 20, 2)	nan
(62, 65, 2)	(65, 41, 0)	(41, 20, 5)	nan
(62, 65, 2)	(65, 41, 0)	(41, 20, 5)	nan
(62, 65, 2)	(65, 41, 0)	(41, 20, 3)	nan
(62, 65, 2)	(65, 41, 0)	(41, 20, 0)	nan
(62, 65, 2)	(65, 41, 5)	(41, 20, 5)	nan
(62, 65, 2)	(65, 41, 5)	(41, 20, 5)	nan
(62, 65, 2)	(65, 41, 5)	(41, 20, 3)	nan
(62, 65, 2)	(65, 41, 5)	(41, 20, 0)	nan
(62, 65, 2)	(65, 53, 0)	(53, 20, 5)	nan
(62, 65, 2)	(65, 80, 7)	(80, 20, 5)	nan
(62, 65, 2)	(65, 80, 7)	(80, 20, 5)	nan
(62, 65, 2)	(65, 80, 7)	(80, 20, 7)	nan
