(38, 48, 0)	(48, 27, 7)	nan
(38, 48, 0)	(48, 27, 7)	nan
(38, 48, 0)	(48, 27, 8)	nan
(38, 48, 0)	(48, 27, 4)	nan
(38, 48, 0)	(48, 30, 8)	(30, 27, 7)	nan
(38, 48, 0)	(48, 71, 7)	(71, 27, 7)	nan
(38, 48, 0)	(48, 88, 7)	(88, 27, 7)	nan
(38, 48, 0)	(48, 88, 7)	(88, 27, 7)	nan
(38, 48, 0)	(48, 88, 7)	(88, 27, 5)	nan
(38, 48, 0)	(48, 88, 7)	(88, 27, 3)	nan
(38, 48, 0)	(48, 59, 8)	(59, 27, 7)	nan
(38, 48, 0)	(48, 89, 0)	(89, 27, 7)	nan
(38, 48, 0)	(48, 89, 0)	(89, 27, 7)	nan
(38, 48, 0)	(48, 89, 0)	(89, 27, 6)	nan
(38, 48, 0)	(48, 89, 0)	(89, 27, 6)	nan
(38, 48, 0)	(48, 89, 7)	(89, 27, 7)	nan
(38, 48, 0)	(48, 89, 7)	(89, 27, 7)	nan
(38, 48, 0)	(48, 89, 7)	(89, 27, 6)	nan
(38, 48, 0)	(48, 89, 7)	(89, 27, 6)	nan
(38, 48, 0)	(48, 33, 0)	(33, 27, 7)	nan
(38, 48, 0)	(48, 33, 0)	(33, 27, 0)	nan
(38, 48, 0)	(48, 34, 0)	(34, 27, 7)	nan
(38, 48, 0)	(48, 34, 0)	(34, 27, 7)	nan
(38, 48, 0)	(48, 67, 5)	(67, 27, 7)	nan
(38, 48, 0)	(48, 67, 5)	(67, 27, 7)	nan
(38, 48, 0)	(48, 67, 5)	(67, 27, 2)	nan
(38, 48, 0)	(48, 67, 5)	(67, 27, 3)	nan
(38, 48, 0)	(48, 85, 7)	(85, 27, 7)	nan
(38, 48, 0)	(48, 85, 7)	(85, 27, 7)	nan
(38, 48, 0)	(48, 85, 7)	(85, 27, 2)	nan
(38, 48, 0)	(48, 85, 7)	(85, 27, 2)	nan
(38, 92, 2)	(92, 27, 7)	nan
(38, 92, 2)	(92, 29, 7)	(29, 27, 7)	nan
(38, 92, 2)	(92, 29, 7)	(29, 27, 5)	nan
(38, 92, 2)	(92, 40, 7)	(40, 27, 7)	nan
(38, 92, 2)	(92, 40, 7)	(40, 27, 2)	nan
(38, 92, 2)	(92, 54, 7)	(54, 27, 7)	nan
(38, 92, 2)	(92, 54, 7)	(54, 27, 4)	nan
(38, 92, 2)	(92, 88, 7)	(88, 27, 7)	nan
