(46, 3, 6)	nan
(46, 30, 8)	(30, 3, 0)	nan
(46, 30, 8)	(30, 3, 3)	nan
(46, 30, 8)	(30, 60, 7)	(60, 3, 0)	nan
(46, 30, 8)	(30, 60, 0)	(60, 3, 0)	nan
(46, 30, 8)	(30, 88, 5)	(88, 3, 0)	nan
(46, 30, 8)	(30, 88, 5)	(88, 3, 0)	nan
(46, 30, 8)	(30, 88, 5)	(88, 3, 3)	nan
(46, 30, 8)	(30, 34, 8)	(34, 3, 0)	nan
(46, 50, 2)	(50, 32, 8)	(32, 3, 0)	nan
(46, 50, 2)	(50, 32, 8)	(32, 3, 0)	nan
(46, 50, 2)	(50, 32, 8)	(32, 3, 0)	nan
(46, 50, 2)	(50, 32, 1)	(32, 3, 0)	nan
(46, 50, 2)	(50, 32, 1)	(32, 3, 0)	nan
(46, 50, 2)	(50, 32, 1)	(32, 3, 0)	nan
(46, 50, 2)	(50, 36, 5)	(36, 3, 0)	nan
(46, 50, 2)	(50, 30, 8)	(30, 3, 0)	nan
(46, 50, 2)	(50, 30, 8)	(30, 3, 3)	nan
(46, 50, 2)	(50, 61, 5)	(61, 3, 0)	nan
(46, 50, 2)	(50, 61, 5)	(61, 3, 0)	nan
(46, 50, 2)	(50, 34, 8)	(34, 3, 0)	nan
(46, 50, 2)	(50, 78, 8)	(78, 3, 0)	nan
(46, 74, 0)	(74, 76, 5)	(76, 3, 0)	nan
(46, 74, 0)	(74, 90, 1)	(90, 3, 0)	nan
(46, 74, 0)	(74, 90, 1)	(90, 3, 7)	nan
(46, 74, 0)	(74, 35, 7)	(35, 3, 0)	nan
(46, 74, 0)	(74, 51, 7)	(51, 3, 0)	nan
(46, 74, 0)	(74, 51, 7)	(51, 3, 0)	nan
(46, 74, 0)	(74, 29, 8)	(29, 3, 0)	nan
(46, 74, 0)	(74, 3, 0)	nan
(46, 29, 8)	(29, 3, 0)	nan
(46, 29, 8)	(29, 88, 0)	(88, 3, 0)	nan
(46, 29, 8)	(29, 88, 0)	(88, 3, 0)	nan
(46, 29, 8)	(29, 88, 0)	(88, 3, 3)	nan
(46, 29, 8)	(29, 35, 1)	(35, 3, 0)	nan
(46, 29, 8)	(29, 52, 7)	(52, 3, 1)	nan
(46, 29, 8)	(29, 76, 3)	(76, 3, 0)	nan
(46, 29, 8)	(29, 61, 7)	(61, 3, 0)	nan
(46, 29, 8)	(29, 61, 7)	(61, 3, 0)	nan
(46, 69, 0)	(69, 34, 8)	(34, 3, 0)	nan
(46, 69, 0)	(69, 34, 8)	(34, 3, 0)	nan
(46, 69, 0)	(69, 34, 7)	(34, 3, 0)	nan
(46, 69, 0)	(69, 48, 2)	(48, 3, 0)	nan
(46, 69, 0)	(69, 48, 2)	(48, 3, 8)	nan
(46, 69, 0)	(69, 3, 8)	nan
(46, 69, 0)	(69, 63, 1)	(63, 3, 0)	nan
(46, 69, 0)	(69, 73, 2)	(73, 3, 0)	nan
(46, 69, 0)	(69, 36, 5)	(36, 3, 0)	nan
(46, 69, 0)	(69, 52, 3)	(52, 3, 1)	nan
(46, 54, 5)	(54, 35, 3)	(35, 3, 0)	nan
