(71, 34, 8)	(34, 10, 2)	nan
(71, 34, 8)	(34, 59, 7)	(59, 10, 2)	nan
(71, 34, 8)	(34, 59, 7)	(59, 10, 3)	nan
(71, 34, 8)	(34, 59, 3)	(59, 10, 2)	nan
(71, 34, 8)	(34, 59, 3)	(59, 10, 3)	nan
(71, 34, 8)	(34, 59, 3)	(59, 10, 2)	nan
(71, 34, 8)	(34, 59, 3)	(59, 10, 3)	nan
(71, 34, 8)	(34, 70, 3)	(70, 10, 2)	nan
(71, 34, 8)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 8)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 8)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 8)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 8)	(34, 33, 8)	(33, 10, 2)	nan
(71, 34, 8)	(34, 35, 8)	(35, 10, 2)	nan
(71, 34, 8)	(34, 35, 8)	(35, 10, 5)	nan
(71, 34, 8)	(34, 10, 2)	nan
(71, 34, 8)	(34, 59, 7)	(59, 10, 2)	nan
(71, 34, 8)	(34, 59, 7)	(59, 10, 3)	nan
(71, 34, 8)	(34, 59, 3)	(59, 10, 2)	nan
(71, 34, 8)	(34, 59, 3)	(59, 10, 3)	nan
(71, 34, 8)	(34, 59, 3)	(59, 10, 2)	nan
(71, 34, 8)	(34, 59, 3)	(59, 10, 3)	nan
(71, 34, 8)	(34, 70, 3)	(70, 10, 2)	nan
(71, 34, 8)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 8)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 8)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 8)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 8)	(34, 33, 8)	(33, 10, 2)	nan
(71, 34, 8)	(34, 35, 8)	(35, 10, 2)	nan
(71, 34, 8)	(34, 35, 8)	(35, 10, 5)	nan
(71, 34, 1)	(34, 10, 2)	nan
(71, 34, 1)	(34, 59, 7)	(59, 10, 2)	nan
(71, 34, 1)	(34, 59, 7)	(59, 10, 3)	nan
(71, 34, 1)	(34, 59, 3)	(59, 10, 2)	nan
(71, 34, 1)	(34, 59, 3)	(59, 10, 3)	nan
(71, 34, 1)	(34, 59, 3)	(59, 10, 2)	nan
(71, 34, 1)	(34, 59, 3)	(59, 10, 3)	nan
(71, 34, 1)	(34, 70, 3)	(70, 10, 2)	nan
(71, 34, 1)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 1)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 1)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 1)	(34, 41, 7)	(41, 10, 2)	nan
(71, 34, 1)	(34, 33, 8)	(33, 10, 2)	nan
(71, 34, 1)	(34, 35, 8)	(35, 10, 2)	nan
(71, 34, 1)	(34, 35, 8)	(35, 10, 5)	nan
(71, 34, 1)	(34, 10, 2)	nan
(71, 34, 1)	(34, 59, 7)	(59, 10, 2)	nan
(71, 34, 1)	(34, 59, 7)	(59, 10, 3)	nan
(71, 34, 1)	(34, 59, 3)	(59, 10, 2)	nan
(71, 34, 1)	(34, 59, 3)	(59, 10, 3)	nan
(71, 34, 1)	(34, 59, 3)	(59, 10, 2)	nan
