(45, 7, 3)	nan
(45, 7, 4)	nan
(45, 59, 1)	(59, 7, 1)	nan
(45, 59, 1)	(59, 7, 6)	nan
(45, 59, 1)	(59, 7, 7)	nan
(45, 59, 1)	(59, 77, 3)	(77, 7, 1)	nan
(45, 59, 1)	(59, 77, 3)	(77, 7, 1)	nan
(45, 59, 1)	(59, 77, 3)	(77, 7, 1)	nan
(45, 59, 1)	(59, 77, 3)	(77, 7, 1)	nan
(45, 59, 1)	(59, 46, 7)	(46, 7, 1)	nan
(45, 59, 1)	(59, 46, 7)	(46, 7, 1)	nan
(45, 59, 1)	(59, 46, 7)	(46, 7, 3)	nan
(45, 59, 1)	(59, 46, 7)	(46, 7, 4)	nan
(45, 59, 1)	(59, 46, 7)	(46, 7, 1)	nan
(45, 59, 1)	(59, 46, 7)	(46, 7, 1)	nan
(45, 59, 1)	(59, 46, 7)	(46, 7, 3)	nan
(45, 59, 1)	(59, 46, 7)	(46, 7, 4)	nan
(45, 59, 1)	(59, 46, 1)	(46, 7, 1)	nan
(45, 59, 1)	(59, 46, 1)	(46, 7, 1)	nan
(45, 59, 1)	(59, 46, 1)	(46, 7, 3)	nan
(45, 59, 1)	(59, 46, 1)	(46, 7, 4)	nan
(45, 59, 1)	(59, 66, 7)	(66, 7, 1)	nan
(45, 59, 1)	(59, 66, 7)	(66, 7, 1)	nan
(45, 59, 1)	(59, 66, 7)	(66, 7, 1)	nan
(45, 59, 1)	(59, 66, 7)	(66, 7, 1)	nan
(45, 33, 8)	(33, 54, 2)	(54, 7, 1)	nan
(45, 33, 8)	(33, 54, 2)	(54, 7, 0)	nan
(45, 33, 8)	(33, 74, 0)	(74, 7, 1)	nan
(45, 33, 8)	(33, 87, 3)	(87, 7, 1)	nan
(45, 33, 8)	(33, 87, 3)	(87, 7, 1)	nan
(45, 33, 8)	(33, 87, 3)	(87, 7, 1)	nan
(45, 33, 8)	(33, 41, 1)	(41, 7, 1)	nan
(45, 33, 8)	(33, 41, 1)	(41, 7, 3)	nan
(45, 33, 8)	(33, 84, 0)	(84, 7, 1)	nan
(45, 33, 8)	(33, 84, 0)	(84, 7, 1)	nan
(45, 33, 8)	(33, 84, 0)	(84, 7, 1)	nan
(45, 33, 8)	(33, 84, 0)	(84, 7, 1)	nan
(45, 76, 7)	(76, 32, 8)	(32, 7, 1)	nan
(45, 76, 7)	(76, 32, 8)	(32, 7, 6)	nan
(45, 76, 7)	(76, 32, 8)	(32, 7, 1)	nan
(45, 76, 7)	(76, 32, 8)	(32, 7, 6)	nan
(45, 76, 7)	(76, 32, 0)	(32, 7, 1)	nan
(45, 76, 7)	(76, 32, 0)	(32, 7, 6)	nan
(45, 76, 7)	(76, 7, 1)	nan
(45, 76, 7)	(76, 7, 0)	nan
(45, 76, 7)	(76, 37, 8)	(37, 7, 1)	nan
(45, 76, 7)	(76, 37, 8)	(37, 7, 1)	nan
(45, 76, 7)	(76, 40, 1)	(40, 7, 1)	nan
(45, 76, 7)	(76, 35, 8)	(35, 7, 1)	nan
