(80, 6, 1)	nan
(80, 66, 0)	(66, 6, 1)	nan
(80, 66, 0)	(66, 6, 1)	nan
(80, 66, 0)	(66, 6, 1)	nan
(80, 66, 0)	(66, 6, 1)	nan
(80, 71, 5)	(71, 34, 8)	(34, 6, 1)	nan
(80, 71, 5)	(71, 34, 8)	(34, 6, 6)	nan
(80, 71, 5)	(71, 34, 8)	(34, 6, 1)	nan
(80, 71, 5)	(71, 34, 8)	(34, 6, 6)	nan
(80, 71, 5)	(71, 34, 1)	(34, 6, 1)	nan
(80, 71, 5)	(71, 34, 1)	(34, 6, 6)	nan
(80, 71, 5)	(71, 34, 1)	(34, 6, 1)	nan
(80, 71, 5)	(71, 34, 1)	(34, 6, 6)	nan
(80, 71, 5)	(71, 83, 8)	(83, 6, 1)	nan
(80, 71, 5)	(71, 83, 8)	(83, 6, 8)	nan
(80, 71, 5)	(71, 74, 7)	(74, 6, 1)	nan
(80, 71, 5)	(71, 74, 7)	(74, 6, 1)	nan
(80, 71, 5)	(71, 74, 7)	(74, 6, 3)	nan
(80, 71, 5)	(71, 74, 7)	(74, 6, 2)	nan
(80, 71, 5)	(71, 31, 7)	(31, 6, 1)	nan
(80, 71, 5)	(71, 31, 7)	(31, 6, 8)	nan
