(48, 2, 0)	nan
(48, 2, 2)	nan
(48, 30, 8)	(30, 2, 0)	nan
(48, 30, 8)	(30, 60, 7)	(60, 2, 0)	nan
(48, 30, 8)	(30, 60, 0)	(60, 2, 0)	nan
(48, 30, 8)	(30, 75, 7)	(75, 2, 0)	nan
(48, 30, 8)	(30, 75, 7)	(75, 2, 5)	nan
(48, 30, 8)	(30, 88, 5)	(88, 2, 0)	nan
(48, 30, 8)	(30, 88, 5)	(88, 2, 6)	nan
(48, 30, 8)	(30, 34, 8)	(34, 2, 0)	nan
(48, 30, 8)	(30, 34, 8)	(34, 2, 0)	nan
(48, 30, 8)	(30, 34, 8)	(34, 2, 0)	nan
(48, 83, 7)	(83, 29, 8)	(29, 2, 0)	nan
(48, 83, 7)	(83, 29, 8)	(29, 2, 0)	nan
(48, 83, 7)	(83, 29, 8)	(29, 2, 8)	nan
(48, 83, 7)	(83, 29, 8)	(29, 2, 7)	nan
(48, 83, 7)	(83, 29, 2)	(29, 2, 0)	nan
(48, 83, 7)	(83, 29, 2)	(29, 2, 0)	nan
(48, 83, 7)	(83, 29, 2)	(29, 2, 8)	nan
(48, 83, 7)	(83, 29, 2)	(29, 2, 7)	nan
(48, 83, 7)	(83, 87, 0)	(87, 2, 0)	nan
(48, 83, 7)	(83, 82, 1)	(82, 2, 0)	nan
(48, 83, 7)	(83, 82, 1)	(82, 2, 4)	nan
(48, 83, 7)	(83, 76, 3)	(76, 2, 0)	nan
(48, 83, 7)	(83, 76, 3)	(76, 2, 0)	nan
(48, 83, 7)	(83, 49, 1)	(49, 2, 0)	nan
(48, 83, 7)	(83, 78, 0)	(78, 2, 0)	nan
(48, 83, 7)	(83, 78, 0)	(78, 2, 0)	nan
(48, 71, 7)	(71, 34, 8)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 8)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 8)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 8)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 8)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 8)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 1)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 1)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 1)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 1)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 1)	(34, 2, 0)	nan
(48, 71, 7)	(71, 34, 1)	(34, 2, 0)	nan
(48, 71, 7)	(71, 74, 7)	(74, 2, 0)	nan
(48, 71, 7)	(71, 74, 7)	(74, 2, 0)	nan
(48, 71, 7)	(71, 31, 7)	(31, 2, 0)	nan
(48, 71, 7)	(71, 31, 7)	(31, 2, 0)	nan
(48, 71, 7)	(71, 31, 7)	(31, 2, 1)	nan
(48, 71, 7)	(71, 31, 7)	(31, 2, 7)	nan
(48, 88, 7)	(88, 2, 0)	nan
(48, 88, 7)	(88, 2, 6)	nan
(48, 88, 7)	(88, 31, 1)	(31, 2, 0)	nan
(48, 88, 7)	(88, 31, 1)	(31, 2, 0)	nan
