(55, 35, 8)	(35, 74, 5)	nan
(55, 35, 8)	(35, 74, 5)	nan
(55, 35, 3)	(35, 74, 5)	nan
(55, 35, 5)	(35, 74, 5)	nan
(55, 64, 7)	(64, 33, 0)	(33, 74, 0)	nan
(55, 64, 7)	(64, 60, 3)	(60, 74, 1)	nan
(55, 64, 7)	(64, 74, 7)	nan
(55, 89, 3)	(89, 46, 7)	(46, 74, 0)	nan
(55, 30, 8)	(30, 60, 7)	(60, 74, 1)	nan
(55, 30, 8)	(30, 60, 0)	(60, 74, 1)	nan
(55, 44, 1)	(44, 71, 0)	(71, 74, 7)	nan
(55, 44, 1)	(44, 63, 0)	(63, 74, 7)	nan
(55, 44, 1)	(44, 74, 7)	nan
(55, 65, 7)	(65, 79, 5)	(79, 74, 1)	nan
(55, 65, 7)	(65, 35, 1)	(35, 74, 5)	nan
(55, 65, 7)	(65, 71, 1)	(71, 74, 7)	nan
(55, 65, 7)	(65, 33, 7)	(33, 74, 0)	nan
(55, 65, 7)	(65, 33, 7)	(33, 74, 0)	nan
(55, 65, 7)	(65, 53, 0)	(53, 74, 3)	nan
(55, 65, 7)	(65, 60, 1)	(60, 74, 1)	nan
(55, 81, 3)	(81, 33, 0)	(33, 74, 0)	nan
(55, 68, 4)	(68, 33, 8)	(33, 74, 0)	nan
(55, 68, 4)	(68, 33, 7)	(33, 74, 0)	nan
(55, 68, 4)	(68, 91, 7)	(91, 74, 7)	nan
