(46, 30, 8)	nan
(46, 50, 2)	(50, 30, 8)	nan
(46, 50, 2)	(50, 31, 7)	(31, 30, 8)	nan
(46, 74, 0)	(74, 90, 1)	(90, 30, 7)	nan
(46, 74, 0)	(74, 35, 7)	(35, 30, 8)	nan
(46, 29, 8)	(29, 50, 5)	(50, 30, 8)	nan
(46, 29, 8)	(29, 35, 1)	(35, 30, 8)	nan
(46, 69, 0)	(69, 48, 2)	(48, 30, 8)	nan
(46, 54, 5)	(54, 35, 3)	(35, 30, 8)	nan
(46, 54, 5)	(54, 43, 7)	(43, 30, 8)	nan
(46, 54, 5)	(54, 56, 3)	(56, 30, 8)	nan
(46, 53, 0)	(53, 90, 7)	(90, 30, 7)	nan
(46, 53, 0)	(53, 56, 5)	(56, 30, 8)	nan
(46, 53, 0)	(53, 44, 3)	(44, 30, 8)	nan
(46, 64, 1)	(64, 30, 8)	nan
(46, 64, 1)	(64, 30, 5)	nan
(46, 64, 1)	(64, 60, 3)	(60, 30, 8)	nan
(46, 47, 8)	(47, 60, 5)	(60, 30, 8)	nan
(46, 47, 8)	(47, 60, 0)	(60, 30, 8)	nan
(46, 47, 8)	(47, 43, 0)	(43, 30, 8)	nan
(46, 47, 8)	(47, 39, 5)	(39, 30, 8)	nan
(46, 47, 8)	(47, 39, 5)	(39, 30, 8)	nan
(46, 47, 8)	(47, 39, 5)	(39, 30, 4)	nan
