(43, 11, 2)	nan
(43, 30, 8)	(30, 11, 2)	nan
(43, 30, 8)	(30, 72, 4)	(72, 11, 2)	nan
(43, 30, 8)	(30, 60, 7)	(60, 11, 2)	nan
(43, 30, 8)	(30, 60, 0)	(60, 11, 2)	nan
(43, 30, 8)	(30, 75, 7)	(75, 11, 2)	nan
(43, 30, 8)	(30, 75, 7)	(75, 11, 3)	nan
(43, 30, 8)	(30, 88, 5)	(88, 11, 2)	nan
(43, 30, 8)	(30, 88, 5)	(88, 11, 1)	nan
(43, 30, 8)	(30, 34, 8)	(34, 11, 2)	nan
(43, 30, 8)	(30, 34, 8)	(34, 11, 8)	nan
(43, 30, 8)	(30, 85, 0)	(85, 11, 2)	nan
(43, 30, 8)	(30, 85, 0)	(85, 11, 5)	nan
(43, 32, 8)	(32, 11, 2)	nan
(43, 32, 8)	(32, 29, 3)	(29, 11, 2)	nan
(43, 32, 8)	(32, 29, 3)	(29, 11, 2)	nan
(43, 32, 8)	(32, 29, 3)	(29, 11, 7)	nan
(43, 32, 8)	(32, 86, 7)	(86, 11, 2)	nan
(43, 32, 8)	(32, 86, 7)	(86, 11, 2)	nan
(43, 32, 8)	(32, 86, 7)	(86, 11, 5)	nan
(43, 32, 8)	(32, 86, 7)	(86, 11, 5)	nan
(43, 32, 8)	(32, 61, 1)	(61, 11, 2)	nan
(43, 32, 8)	(32, 61, 1)	(61, 11, 2)	nan
(43, 32, 8)	(32, 61, 1)	(61, 11, 5)	nan
(43, 32, 8)	(32, 76, 7)	(76, 11, 2)	nan
(43, 32, 8)	(32, 76, 7)	(76, 11, 7)	nan
(43, 32, 8)	(32, 51, 1)	(51, 11, 2)	nan
(43, 32, 8)	(32, 41, 3)	(41, 11, 2)	nan
(43, 32, 8)	(32, 41, 3)	(41, 11, 2)	nan
(43, 32, 8)	(32, 41, 3)	(41, 11, 5)	nan
(43, 32, 8)	(32, 41, 3)	(41, 11, 5)	nan
(43, 32, 8)	(32, 40, 5)	(40, 11, 2)	nan
(43, 32, 8)	(32, 40, 5)	(40, 11, 8)	nan
(43, 32, 8)	(32, 40, 5)	(40, 11, 0)	nan
(43, 55, 0)	(55, 11, 2)	nan
(43, 55, 0)	(55, 11, 5)	nan
(43, 55, 0)	(55, 35, 8)	(35, 11, 2)	nan
(43, 55, 0)	(55, 35, 8)	(35, 11, 8)	nan
(43, 55, 0)	(55, 35, 8)	(35, 11, 2)	nan
(43, 55, 0)	(55, 35, 8)	(35, 11, 8)	nan
(43, 55, 0)	(55, 35, 3)	(35, 11, 2)	nan
(43, 55, 0)	(55, 35, 3)	(35, 11, 8)	nan
(43, 55, 0)	(55, 35, 5)	(35, 11, 2)	nan
(43, 55, 0)	(55, 35, 5)	(35, 11, 8)	nan
(43, 55, 0)	(55, 89, 3)	(89, 11, 2)	nan
(43, 55, 0)	(55, 89, 3)	(89, 11, 2)	nan
(43, 55, 0)	(55, 89, 3)	(89, 11, 5)	nan
(43, 55, 0)	(55, 30, 8)	(30, 11, 2)	nan
(43, 55, 0)	(55, 44, 1)	(44, 11, 2)	nan
(43, 55, 0)	(55, 44, 1)	(44, 11, 2)	nan
(43, 55, 0)	(55, 44, 1)	(44, 11, 6)	nan
