(33, 54, 2)	(54, 11, 2)	nan
(33, 54, 2)	(54, 11, 2)	nan
(33, 54, 2)	(54, 11, 7)	nan
(33, 54, 2)	(54, 35, 3)	(35, 11, 2)	nan
(33, 54, 2)	(54, 35, 3)	(35, 11, 8)	nan
(33, 54, 2)	(54, 79, 1)	(79, 11, 2)	nan
(33, 54, 2)	(54, 79, 1)	(79, 11, 6)	nan
(33, 54, 2)	(54, 43, 7)	(43, 11, 2)	nan
(33, 54, 2)	(54, 87, 7)	(87, 11, 2)	nan
(33, 54, 2)	(54, 87, 7)	(87, 11, 2)	nan
(33, 54, 2)	(54, 87, 7)	(87, 11, 2)	nan
(33, 54, 2)	(54, 87, 7)	(87, 11, 2)	nan
(33, 54, 2)	(54, 87, 7)	(87, 11, 2)	nan
(33, 54, 2)	(54, 56, 3)	(56, 11, 2)	nan
(33, 54, 2)	(54, 56, 3)	(56, 11, 5)	nan
(33, 54, 2)	(54, 38, 2)	(38, 11, 2)	nan
(33, 54, 2)	(54, 38, 2)	(38, 11, 2)	nan
(33, 54, 2)	(54, 38, 2)	(38, 11, 7)	nan
(33, 54, 2)	(54, 38, 2)	(38, 11, 5)	nan
(33, 54, 2)	(54, 69, 3)	(69, 11, 2)	nan
(33, 54, 2)	(54, 69, 3)	(69, 11, 2)	nan
(33, 54, 2)	(54, 69, 3)	(69, 11, 8)	nan
(33, 50, 3)	(50, 32, 8)	(32, 11, 2)	nan
(33, 50, 3)	(50, 32, 1)	(32, 11, 2)	nan
(33, 50, 3)	(50, 36, 5)	(36, 11, 2)	nan
(33, 50, 3)	(50, 36, 5)	(36, 11, 2)	nan
(33, 50, 3)	(50, 36, 5)	(36, 11, 8)	nan
(33, 50, 3)	(50, 30, 8)	(30, 11, 2)	nan
(33, 50, 3)	(50, 61, 5)	(61, 11, 2)	nan
(33, 50, 3)	(50, 61, 5)	(61, 11, 2)	nan
(33, 50, 3)	(50, 61, 5)	(61, 11, 5)	nan
(33, 50, 3)	(50, 34, 8)	(34, 11, 2)	nan
(33, 50, 3)	(50, 34, 8)	(34, 11, 8)	nan
(33, 50, 3)	(50, 31, 7)	(31, 11, 2)	nan
(33, 50, 3)	(50, 31, 7)	(31, 11, 5)	nan
(33, 50, 3)	(50, 78, 8)	(78, 11, 2)	nan
(33, 50, 3)	(50, 78, 8)	(78, 11, 2)	nan
(33, 50, 3)	(50, 78, 8)	(78, 11, 2)	nan
(33, 74, 0)	(74, 11, 2)	nan
(33, 74, 0)	(74, 11, 7)	nan
(33, 74, 0)	(74, 11, 3)	nan
(33, 74, 0)	(74, 76, 5)	(76, 11, 2)	nan
(33, 74, 0)	(74, 76, 5)	(76, 11, 7)	nan
(33, 74, 0)	(74, 90, 1)	(90, 11, 2)	nan
(33, 74, 0)	(74, 90, 1)	(90, 11, 5)	nan
(33, 74, 0)	(74, 35, 7)	(35, 11, 2)	nan
(33, 74, 0)	(74, 35, 7)	(35, 11, 8)	nan
(33, 74, 0)	(74, 51, 7)	(51, 11, 2)	nan
(33, 74, 0)	(74, 29, 8)	(29, 11, 2)	nan
(33, 74, 0)	(74, 29, 8)	(29, 11, 2)	nan
