(42, 6, 8)	nan
(42, 6, 7)	nan
(42, 64, 7)	(64, 6, 1)	nan
(42, 64, 7)	(64, 6, 1)	nan
(42, 64, 7)	(64, 6, 2)	nan
(42, 64, 7)	(64, 6, 5)	nan
(42, 64, 7)	(64, 29, 8)	(29, 6, 1)	nan
(42, 64, 7)	(64, 29, 8)	(29, 6, 2)	nan
(42, 64, 7)	(64, 29, 8)	(29, 6, 1)	nan
(42, 64, 7)	(64, 29, 8)	(29, 6, 2)	nan
(42, 64, 7)	(64, 29, 4)	(29, 6, 1)	nan
(42, 64, 7)	(64, 29, 4)	(29, 6, 2)	nan
(42, 64, 7)	(64, 29, 6)	(29, 6, 1)	nan
(42, 64, 7)	(64, 29, 6)	(29, 6, 2)	nan
(42, 64, 7)	(64, 83, 7)	(83, 6, 1)	nan
(42, 64, 7)	(64, 83, 7)	(83, 6, 8)	nan
(42, 64, 7)	(64, 37, 3)	(37, 6, 7)	nan
(42, 64, 7)	(64, 60, 3)	(60, 6, 1)	nan
(42, 64, 7)	(64, 60, 3)	(60, 6, 1)	nan
(42, 64, 7)	(64, 60, 3)	(60, 6, 8)	nan
(42, 64, 7)	(64, 74, 7)	(74, 6, 1)	nan
(42, 64, 7)	(64, 74, 7)	(74, 6, 1)	nan
(42, 64, 7)	(64, 74, 7)	(74, 6, 3)	nan
(42, 64, 7)	(64, 74, 7)	(74, 6, 2)	nan
(42, 64, 7)	(64, 52, 7)	(52, 6, 1)	nan
(42, 64, 7)	(64, 52, 7)	(52, 6, 0)	nan
(42, 64, 7)	(64, 51, 7)	(51, 6, 1)	nan
(42, 64, 7)	(64, 51, 7)	(51, 6, 3)	nan
(42, 29, 7)	(29, 6, 1)	nan
(42, 29, 7)	(29, 6, 2)	nan
(42, 29, 7)	(29, 50, 5)	(50, 6, 1)	nan
(42, 29, 7)	(29, 50, 5)	(50, 6, 1)	nan
(42, 29, 7)	(29, 50, 5)	(50, 6, 5)	nan
(42, 29, 7)	(29, 50, 5)	(50, 6, 7)	nan
(42, 29, 7)	(29, 88, 0)	(88, 6, 1)	nan
(42, 29, 7)	(29, 35, 1)	(35, 6, 1)	nan
(42, 29, 7)	(29, 35, 1)	(35, 6, 1)	nan
(42, 29, 7)	(29, 52, 7)	(52, 6, 1)	nan
(42, 29, 7)	(29, 52, 7)	(52, 6, 0)	nan
(42, 29, 7)	(29, 76, 3)	(76, 6, 1)	nan
(42, 29, 7)	(29, 76, 3)	(76, 6, 1)	nan
(42, 29, 7)	(29, 76, 3)	(76, 6, 1)	nan
(42, 29, 7)	(29, 76, 3)	(76, 6, 1)	nan
(42, 29, 7)	(29, 76, 3)	(76, 6, 1)	nan
(42, 29, 7)	(29, 76, 3)	(76, 6, 1)	nan
(42, 29, 7)	(29, 76, 3)	(76, 6, 1)	nan
(42, 29, 7)	(29, 61, 7)	(61, 6, 1)	nan
(42, 29, 7)	(29, 61, 7)	(61, 6, 1)	nan
(42, 72, 0)	(72, 6, 1)	nan
