(46, 30, 8)	(30, 34, 8)	(34, 59, 7)	nan
(46, 30, 8)	(30, 34, 8)	(34, 59, 3)	nan
(46, 30, 8)	(30, 34, 8)	(34, 59, 3)	nan
(46, 50, 2)	(50, 34, 8)	(34, 59, 7)	nan
(46, 50, 2)	(50, 34, 8)	(34, 59, 3)	nan
(46, 50, 2)	(50, 34, 8)	(34, 59, 3)	nan
(46, 74, 0)	(74, 51, 7)	(51, 59, 5)	nan
(46, 69, 0)	(69, 34, 8)	(34, 59, 7)	nan
(46, 69, 0)	(69, 34, 8)	(34, 59, 3)	nan
(46, 69, 0)	(69, 34, 8)	(34, 59, 3)	nan
(46, 69, 0)	(69, 34, 8)	(34, 59, 7)	nan
(46, 69, 0)	(69, 34, 8)	(34, 59, 3)	nan
(46, 69, 0)	(69, 34, 8)	(34, 59, 3)	nan
(46, 69, 0)	(69, 34, 7)	(34, 59, 7)	nan
(46, 69, 0)	(69, 34, 7)	(34, 59, 3)	nan
(46, 69, 0)	(69, 34, 7)	(34, 59, 3)	nan
(46, 69, 0)	(69, 48, 2)	(48, 59, 8)	nan
(46, 54, 5)	(54, 87, 7)	(87, 59, 4)	nan
(46, 54, 5)	(54, 56, 3)	(56, 59, 4)	nan
(46, 53, 0)	(53, 34, 3)	(34, 59, 7)	nan
(46, 53, 0)	(53, 34, 3)	(34, 59, 3)	nan
(46, 53, 0)	(53, 34, 3)	(34, 59, 3)	nan
(46, 53, 0)	(53, 56, 5)	(56, 59, 4)	nan
(46, 64, 1)	(64, 51, 7)	(51, 59, 5)	nan
(46, 47, 8)	(47, 45, 7)	(45, 59, 1)	nan
