(91, 25, 0)	nan
(91, 39, 3)	(39, 25, 7)	nan
(91, 39, 3)	(39, 25, 7)	nan
(91, 39, 3)	(39, 25, 8)	nan
(91, 39, 3)	(39, 25, 2)	nan
(91, 39, 3)	(39, 30, 8)	(30, 25, 7)	nan
(91, 39, 3)	(39, 30, 8)	(30, 25, 2)	nan
(91, 39, 3)	(39, 30, 8)	(30, 25, 7)	nan
(91, 39, 3)	(39, 30, 8)	(30, 25, 2)	nan
(91, 39, 3)	(39, 30, 4)	(30, 25, 7)	nan
(91, 39, 3)	(39, 30, 4)	(30, 25, 2)	nan
(91, 39, 3)	(39, 82, 5)	(82, 25, 7)	nan
(91, 39, 3)	(39, 82, 5)	(82, 25, 7)	nan
(91, 39, 3)	(39, 82, 5)	(82, 25, 7)	nan
(91, 39, 3)	(39, 71, 1)	(71, 25, 7)	nan
(91, 39, 3)	(39, 71, 1)	(71, 25, 7)	nan
(91, 39, 3)	(39, 71, 1)	(71, 25, 8)	nan
(91, 39, 3)	(39, 52, 0)	(52, 25, 7)	nan
(91, 39, 3)	(39, 52, 0)	(52, 25, 0)	nan
(91, 39, 3)	(39, 72, 7)	(72, 25, 7)	nan
(91, 39, 3)	(39, 72, 7)	(72, 25, 7)	nan
(91, 39, 3)	(39, 72, 7)	(72, 25, 4)	nan
(91, 39, 3)	(39, 86, 1)	(86, 25, 7)	nan
(91, 39, 3)	(39, 86, 1)	(86, 25, 7)	nan
(91, 39, 3)	(39, 86, 1)	(86, 25, 1)	nan
(91, 39, 3)	(39, 36, 8)	(36, 25, 7)	nan
(91, 39, 3)	(39, 89, 0)	(89, 25, 7)	nan
(91, 39, 3)	(39, 29, 7)	(29, 25, 7)	nan
(91, 39, 3)	(39, 29, 7)	(29, 25, 3)	nan
(91, 39, 3)	(39, 64, 0)	(64, 25, 7)	nan
(91, 39, 3)	(39, 62, 8)	(62, 25, 7)	nan
(91, 39, 3)	(39, 62, 8)	(62, 25, 7)	nan
(91, 39, 3)	(39, 62, 8)	(62, 25, 6)	nan
(91, 39, 3)	(39, 50, 5)	(50, 25, 7)	nan
(91, 39, 3)	(39, 50, 5)	(50, 25, 0)	nan
(91, 39, 3)	(39, 90, 0)	(90, 25, 7)	nan
(91, 39, 3)	(39, 55, 1)	(55, 25, 2)	nan
(91, 39, 3)	(39, 68, 0)	(68, 25, 7)	nan
(91, 39, 3)	(39, 68, 0)	(68, 25, 7)	nan
(91, 39, 3)	(39, 68, 0)	(68, 25, 2)	nan
(91, 39, 3)	(39, 68, 0)	(68, 25, 8)	nan
(91, 49, 7)	(49, 25, 7)	nan
(91, 49, 7)	(49, 41, 2)	(41, 25, 7)	nan
(91, 49, 7)	(49, 58, 3)	(58, 25, 7)	nan
(91, 49, 7)	(49, 58, 2)	(58, 25, 7)	nan
(91, 49, 7)	(49, 78, 7)	(78, 25, 7)	nan
(91, 49, 7)	(49, 78, 7)	(78, 25, 7)	nan
(91, 49, 7)	(49, 78, 7)	(78, 25, 7)	nan
(91, 49, 7)	(49, 78, 7)	(78, 25, 7)	nan
(91, 49, 7)	(49, 78, 7)	(78, 25, 7)	nan
