(57, 35, 8)	(35, 74, 5)	nan
(57, 35, 8)	(35, 74, 5)	nan
(57, 35, 0)	(35, 74, 5)	nan
(57, 71, 3)	(71, 74, 7)	nan
(57, 56, 7)	(56, 35, 8)	(35, 74, 5)	nan
(57, 56, 7)	(56, 35, 8)	(35, 74, 5)	nan
(57, 56, 7)	(56, 35, 4)	(35, 74, 5)	nan
(57, 56, 7)	(56, 33, 8)	(33, 74, 0)	nan
(57, 80, 3)	(80, 71, 5)	(71, 74, 7)	nan
(57, 32, 8)	(32, 86, 7)	(86, 74, 7)	nan
(57, 32, 1)	(32, 86, 7)	(86, 74, 7)	nan
(57, 41, 1)	(41, 35, 8)	(35, 74, 5)	nan
(57, 78, 7)	(78, 33, 8)	(33, 74, 0)	nan
(57, 78, 7)	(78, 33, 3)	(33, 74, 0)	nan
(57, 78, 7)	(78, 35, 8)	(35, 74, 5)	nan
(57, 87, 7)	(87, 44, 5)	(44, 74, 7)	nan
(57, 87, 7)	(87, 35, 8)	(35, 74, 5)	nan
(57, 58, 4)	(58, 35, 8)	(35, 74, 5)	nan
(57, 58, 4)	(58, 35, 2)	(35, 74, 5)	nan
(57, 58, 4)	(58, 44, 1)	(44, 74, 7)	nan
(57, 58, 4)	(58, 46, 7)	(46, 74, 0)	nan
(57, 58, 4)	(58, 71, 5)	(71, 74, 7)	nan
