(41, 21, 1)	nan
(41, 21, 8)	nan
(41, 30, 8)	(30, 21, 5)	nan
(41, 30, 8)	(30, 21, 3)	nan
(41, 30, 8)	(30, 72, 4)	(72, 21, 5)	nan
(41, 30, 8)	(30, 60, 7)	(60, 21, 5)	nan
(41, 30, 8)	(30, 60, 0)	(60, 21, 5)	nan
(41, 30, 8)	(30, 75, 7)	(75, 21, 5)	nan
(41, 30, 8)	(30, 75, 7)	(75, 21, 5)	nan
(41, 30, 8)	(30, 75, 7)	(75, 21, 0)	nan
(41, 30, 8)	(30, 75, 7)	(75, 21, 4)	nan
(41, 30, 8)	(30, 34, 8)	(34, 21, 5)	nan
(41, 30, 8)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 8)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 8)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 8)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 8)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 8)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 8)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 8)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 1)	(30, 21, 5)	nan
(41, 30, 1)	(30, 21, 3)	nan
(41, 30, 1)	(30, 72, 4)	(72, 21, 5)	nan
(41, 30, 1)	(30, 60, 7)	(60, 21, 5)	nan
(41, 30, 1)	(30, 60, 0)	(60, 21, 5)	nan
(41, 30, 1)	(30, 75, 7)	(75, 21, 5)	nan
(41, 30, 1)	(30, 75, 7)	(75, 21, 5)	nan
(41, 30, 1)	(30, 75, 7)	(75, 21, 0)	nan
(41, 30, 1)	(30, 75, 7)	(75, 21, 4)	nan
(41, 30, 1)	(30, 34, 8)	(34, 21, 5)	nan
(41, 30, 1)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 1)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 1)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 1)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 1)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 1)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 1)	(30, 85, 0)	(85, 21, 5)	nan
(41, 30, 1)	(30, 85, 0)	(85, 21, 5)	nan
(41, 38, 7)	(38, 92, 2)	(92, 21, 5)	nan
(41, 38, 7)	(38, 92, 2)	(92, 21, 2)	nan
(41, 38, 7)	(38, 82, 2)	(82, 21, 5)	nan
(41, 38, 7)	(38, 82, 2)	(82, 21, 4)	nan
(41, 38, 7)	(38, 82, 2)	(82, 21, 0)	nan
(41, 32, 7)	(32, 29, 3)	(29, 21, 5)	nan
(41, 32, 7)	(32, 29, 3)	(29, 21, 5)	nan
(41, 32, 7)	(32, 29, 3)	(29, 21, 0)	nan
(41, 32, 7)	(32, 29, 3)	(29, 21, 2)	nan
(41, 32, 7)	(32, 86, 7)	(86, 21, 5)	nan
(41, 32, 7)	(32, 86, 7)	(86, 21, 5)	nan
