(89, 46, 7)	(46, 10, 2)	nan
(89, 46, 7)	(46, 10, 8)	nan
(89, 46, 7)	(46, 74, 0)	(74, 10, 2)	nan
(89, 46, 7)	(46, 74, 0)	(74, 10, 7)	nan
(89, 46, 7)	(46, 29, 8)	(29, 10, 2)	nan
(89, 46, 7)	(46, 29, 8)	(29, 10, 2)	nan
(89, 46, 7)	(46, 29, 8)	(29, 10, 5)	nan
(89, 46, 7)	(46, 29, 8)	(29, 10, 4)	nan
(89, 46, 7)	(46, 69, 0)	(69, 10, 2)	nan
(89, 46, 7)	(46, 69, 0)	(69, 10, 8)	nan
(89, 46, 7)	(46, 54, 5)	(54, 10, 2)	nan
(89, 46, 7)	(46, 54, 5)	(54, 10, 5)	nan
(89, 46, 7)	(46, 53, 0)	(53, 10, 2)	nan
(89, 46, 7)	(46, 53, 0)	(53, 10, 7)	nan
(89, 46, 7)	(46, 47, 8)	(47, 10, 2)	nan
(89, 46, 7)	(46, 47, 8)	(47, 10, 2)	nan
(89, 90, 1)	(90, 71, 0)	(71, 10, 2)	nan
(89, 90, 1)	(90, 70, 5)	(70, 10, 2)	nan
(89, 90, 1)	(90, 55, 0)	(55, 10, 2)	nan
(89, 90, 1)	(90, 55, 0)	(55, 10, 4)	nan
(89, 90, 1)	(90, 63, 7)	(63, 10, 2)	nan
(89, 90, 1)	(90, 63, 7)	(63, 10, 2)	nan
(89, 90, 1)	(90, 85, 0)	(85, 10, 2)	nan
