(42, 27, 2)	nan
(42, 64, 7)	(64, 27, 7)	nan
(42, 64, 7)	(64, 29, 8)	(29, 27, 7)	nan
(42, 64, 7)	(64, 29, 8)	(29, 27, 5)	nan
(42, 64, 7)	(64, 29, 8)	(29, 27, 7)	nan
(42, 64, 7)	(64, 29, 8)	(29, 27, 5)	nan
(42, 64, 7)	(64, 29, 4)	(29, 27, 7)	nan
(42, 64, 7)	(64, 29, 4)	(29, 27, 5)	nan
(42, 64, 7)	(64, 29, 6)	(29, 27, 7)	nan
(42, 64, 7)	(64, 29, 6)	(29, 27, 5)	nan
(42, 64, 7)	(64, 33, 0)	(33, 27, 7)	nan
(42, 64, 7)	(64, 33, 0)	(33, 27, 0)	nan
(42, 64, 7)	(64, 30, 8)	(30, 27, 7)	nan
(42, 64, 7)	(64, 30, 5)	(30, 27, 7)	nan
(42, 64, 7)	(64, 60, 3)	(60, 27, 3)	nan
(42, 64, 7)	(64, 74, 7)	(74, 27, 7)	nan
(42, 64, 7)	(64, 74, 7)	(74, 27, 7)	nan
(42, 64, 7)	(64, 74, 7)	(74, 27, 5)	nan
(42, 64, 7)	(64, 74, 7)	(74, 27, 2)	nan
(42, 64, 7)	(64, 52, 7)	(52, 27, 7)	nan
(42, 64, 7)	(64, 52, 7)	(52, 27, 1)	nan
(42, 64, 7)	(64, 51, 7)	(51, 27, 7)	nan
(42, 64, 7)	(64, 51, 7)	(51, 27, 1)	nan
(42, 29, 7)	(29, 27, 7)	nan
(42, 29, 7)	(29, 27, 5)	nan
(42, 29, 7)	(29, 50, 5)	(50, 27, 7)	nan
(42, 29, 7)	(29, 50, 5)	(50, 27, 2)	nan
(42, 29, 7)	(29, 88, 0)	(88, 27, 7)	nan
(42, 29, 7)	(29, 88, 0)	(88, 27, 7)	nan
(42, 29, 7)	(29, 88, 0)	(88, 27, 5)	nan
(42, 29, 7)	(29, 88, 0)	(88, 27, 3)	nan
(42, 29, 7)	(29, 35, 1)	(35, 27, 7)	nan
(42, 29, 7)	(29, 52, 7)	(52, 27, 7)	nan
(42, 29, 7)	(29, 52, 7)	(52, 27, 1)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 27, 7)	nan
(42, 29, 7)	(29, 86, 1)	(86, 27, 7)	nan
(42, 29, 7)	(29, 61, 7)	(61, 27, 7)	nan
(42, 29, 7)	(29, 61, 7)	(61, 27, 8)	nan
(42, 72, 0)	(72, 34, 8)	(34, 27, 7)	nan
