(33, 54, 2)	(54, 17, 3)	nan
(33, 54, 2)	(54, 17, 3)	nan
(33, 54, 2)	(54, 17, 7)	nan
(33, 54, 2)	(54, 17, 4)	nan
(33, 54, 2)	(54, 43, 7)	(43, 17, 8)	nan
(33, 54, 2)	(54, 56, 3)	(56, 17, 3)	nan
(33, 54, 2)	(54, 56, 3)	(56, 17, 1)	nan
(33, 54, 2)	(54, 38, 2)	(38, 17, 3)	nan
(33, 54, 2)	(54, 38, 2)	(38, 17, 3)	nan
(33, 50, 3)	(50, 30, 8)	(30, 17, 3)	nan
(33, 50, 3)	(50, 34, 8)	(34, 17, 3)	nan
(33, 50, 3)	(50, 34, 8)	(34, 17, 3)	nan
(33, 50, 3)	(50, 34, 8)	(34, 17, 0)	nan
(33, 50, 3)	(50, 57, 3)	(57, 17, 3)	nan
(33, 50, 3)	(50, 57, 3)	(57, 17, 3)	nan
(33, 50, 3)	(50, 57, 3)	(57, 17, 2)	nan
(33, 74, 0)	(74, 51, 7)	(51, 17, 3)	nan
(33, 74, 0)	(74, 29, 8)	(29, 17, 3)	nan
(33, 74, 0)	(74, 29, 8)	(29, 17, 3)	nan
(33, 74, 0)	(74, 29, 8)	(29, 17, 0)	nan
(33, 87, 3)	(87, 34, 8)	(34, 17, 3)	nan
(33, 87, 3)	(87, 34, 8)	(34, 17, 3)	nan
(33, 87, 3)	(87, 34, 8)	(34, 17, 0)	nan
(33, 87, 3)	(87, 34, 7)	(34, 17, 3)	nan
(33, 87, 3)	(87, 34, 7)	(34, 17, 3)	nan
(33, 87, 3)	(87, 34, 7)	(34, 17, 0)	nan
(33, 87, 3)	(87, 44, 5)	(44, 17, 3)	nan
(33, 87, 3)	(87, 44, 5)	(44, 17, 3)	nan
(33, 87, 3)	(87, 59, 4)	(59, 17, 3)	nan
(33, 87, 3)	(87, 59, 4)	(59, 17, 4)	nan
(33, 87, 3)	(87, 51, 7)	(51, 17, 3)	nan
(33, 41, 1)	(41, 30, 8)	(30, 17, 3)	nan
(33, 41, 1)	(41, 30, 1)	(30, 17, 3)	nan
(33, 41, 1)	(41, 38, 7)	(38, 17, 3)	nan
(33, 41, 1)	(41, 38, 7)	(38, 17, 3)	nan
(33, 41, 1)	(41, 29, 5)	(29, 17, 3)	nan
(33, 41, 1)	(41, 29, 5)	(29, 17, 3)	nan
(33, 41, 1)	(41, 29, 5)	(29, 17, 0)	nan
(33, 41, 1)	(41, 34, 8)	(34, 17, 3)	nan
(33, 41, 1)	(41, 34, 8)	(34, 17, 3)	nan
(33, 41, 1)	(41, 34, 8)	(34, 17, 0)	nan
(33, 84, 0)	(84, 30, 8)	(30, 17, 3)	nan
(33, 84, 0)	(84, 30, 6)	(30, 17, 3)	nan
(33, 84, 0)	(84, 34, 8)	(34, 17, 3)	nan
(33, 84, 0)	(84, 34, 8)	(34, 17, 3)	nan
(33, 84, 0)	(84, 34, 8)	(34, 17, 0)	nan
(33, 29, 2)	(29, 17, 3)	nan
(33, 29, 2)	(29, 17, 3)	nan
(33, 29, 2)	(29, 17, 0)	nan
