(48, 30, 8)	(30, 25, 7)	nan
(48, 30, 8)	(30, 25, 2)	nan
(48, 30, 8)	(30, 72, 4)	(72, 25, 7)	nan
(48, 30, 8)	(30, 72, 4)	(72, 25, 7)	nan
(48, 30, 8)	(30, 72, 4)	(72, 25, 4)	nan
(48, 30, 8)	(30, 75, 7)	(75, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 25, 7)	nan
(48, 83, 7)	(83, 25, 1)	nan
(48, 83, 7)	(83, 29, 8)	(29, 25, 7)	nan
(48, 83, 7)	(83, 29, 8)	(29, 25, 3)	nan
(48, 83, 7)	(83, 29, 2)	(29, 25, 7)	nan
(48, 83, 7)	(83, 29, 2)	(29, 25, 3)	nan
(48, 83, 7)	(83, 82, 1)	(82, 25, 7)	nan
(48, 83, 7)	(83, 82, 1)	(82, 25, 7)	nan
(48, 83, 7)	(83, 82, 1)	(82, 25, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 25, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 25, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 25, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 25, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 25, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 25, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 25, 7)	nan
(48, 83, 7)	(83, 49, 1)	(49, 25, 7)	nan
(48, 83, 7)	(83, 78, 0)	(78, 25, 7)	nan
(48, 83, 7)	(83, 78, 0)	(78, 25, 7)	nan
(48, 83, 7)	(83, 78, 0)	(78, 25, 7)	nan
(48, 83, 7)	(83, 78, 0)	(78, 25, 7)	nan
(48, 83, 7)	(83, 78, 0)	(78, 25, 7)	nan
(48, 83, 7)	(83, 78, 0)	(78, 25, 7)	nan
