90	7	1	1
90	21	1	-1
87	18	4	1
87	49	4	-1
57	14	3	1
57	14	1	-1
62	21	5	1
62	68	5	-1
40	11	2	1
40	10	2	-1
71	34	8	1
74	34	8	-1
65	25	7	1
78	25	7	-1
88	27	7	1
88	30	7	-1
47	5	0	1
66	5	0	-1
41	7	1	1
41	21	1	-1
47	20	5	1
73	20	5	-1
70	8	1	1
81	8	1	-1
42	25	7	1
42	25	8	-1
52	22	5	1
52	40	5	-1
76	0	0	1
76	0	7	-1
41	27	7	1
41	27	0	-1
34	17	3	1
48	17	3	-1
49	10	2	1
49	38	2	-1
84	3	0	1
84	79	0	-1
56	27	7	1
56	27	1	-1
36	2	0	1
36	65	0	-1
79	7	1	1
79	7	2	-1
57	35	8	1
57	35	3	-1
57	17	3	1
57	13	3	-1
41	0	0	1
41	75	0	-1
60	0	0	1
60	0	5	-1
41	8	1	1
41	28	1	-1
59	26	7	1
85	26	7	-1
30	19	4	1
30	19	8	-1
43	8	1	1
87	8	1	-1
73	29	8	1
51	29	8	-1
81	6	1	1
81	6	2	-1
70	11	2	1
70	10	2	-1
61	6	1	1
61	6	6	-1
80	3	0	1
68	3	0	-1
39	27	7	1
39	27	3	-1
35	28	7	1
76	32	8	1
76	32	4	-1
46	4	0	1
46	59	0	-1
88	19	4	1
88	19	7	-1
47	21	5	1
77	21	5	-1
33	11	2	1
33	11	4	-1
49	19	4	1
49	19	2	-1
56	19	4	1
78	19	4	-1
92	6	1	1
92	6	8	-1
69	34	8	1
69	34	0	-1
58	17	3	1
58	73	3	-1
55	27	7	1
55	27	1	-1
40	22	5	1
40	22	2	-1
83	25	7	1
76	25	7	-1
40	8	1	1
84	8	1	-1
71	25	7	1
71	66	7	-1
61	23	6	1
61	23	2	-1
87	27	7	1
87	62	7	-1
79	19	4	1
79	19	8	-1
53	12	3	1
73	12	3	-1
65	12	3	1
65	17	3	-1
76	19	4	1
76	18	4	-1
35	6	1	1
35	6	5	-1
31	2	0	1
31	2	3	-1
31	25	7	1
31	25	8	-1
34	16	3	1
34	16	6	-1
74	27	7	1
69	27	7	-1
77	27	7	1
77	89	7	-1
87	19	4	1
87	19	5	-1
68	27	7	1
68	27	8	-1
87	20	5	1
87	85	5	-1
76	11	2	1
78	11	2	-1
75	7	1	1
75	88	1	-1
46	5	0	1
46	5	4	-1
35	15	3	1
35	49	3	-1
74	19	4	1
51	19	4	-1
41	20	5	1
41	12	5	-1
87	21	5	1
87	21	0	-1
80	8	1	1
80	29	1	-1
74	1	0	1
32	1	0	-1
52	25	7	1
79	25	7	-1
65	11	2	1
65	10	2	-1
79	6	1	1
82	6	1	-1
57	0	0	1
57	2	0	-1
67	26	7	1
67	26	5	-1
59	14	3	1
59	14	5	-1
81	1	0	1
59	1	0	-1
63	35	8	1
82	35	8	-1
69	28	7	1
55	28	7	1
59	17	3	1
59	8	3	-1
77	28	7	1
75	33	8	1
75	86	8	-1
62	25	7	1
62	25	1	-1
68	6	1	1
68	6	8	-1
57	7	1	1
38	7	1	-1
63	20	5	1
60	20	5	-1
64	27	7	1
64	27	3	-1
64	0	0	1
86	0	0	-1
43	26	7	1
43	80	7	-1
39	21	5	1
39	21	4	-1
80	21	5	1
80	21	0	-1
50	21	5	1
50	70	5	-1
88	11	2	1
88	10	2	-1
54	16	3	1
54	16	6	-1
57	16	3	1
57	16	5	-1
43	22	5	1
43	22	4	-1
36	11	2	1
77	11	2	-1
60	35	8	1
60	35	6	-1
59	25	7	1
59	12	7	-1
72	6	1	1
38	6	1	-1
38	25	7	1
38	27	7	-1
39	6	1	1
77	6	1	-1
74	6	1	1
77	6	1	-1
51	28	7	1
42	3	0	1
42	3	2	-1
39	7	1	1
77	7	1	-1
64	26	7	1
64	26	1	-1
89	6	1	1
89	6	4	-1
89	25	7	1
89	25	0	-1
30	22	5	1
30	6	5	-1
49	11	2	1
49	11	7	-1
72	28	7	1
36	0	0	1
68	21	5	1
78	21	5	-1
41	11	2	1
41	11	6	-1
33	14	3	1
42	14	3	-1
84	33	8	1
59	33	8	-1
81	0	0	1
81	0	2	-1
29	21	5	1
29	21	0	-1
30	27	7	1
30	27	5	-1
59	16	3	1
59	18	3	-1
49	27	7	1
49	27	6	-1
89	2	0	1
34	2	0	-1
39	4	0	1
69	4	0	-1
64	20	5	1
64	22	5	-1
39	25	7	1
82	25	7	-1
70	34	8	1
70	34	6	-1
85	33	8	1
85	18	8	-1
36	25	7	1
36	25	4	-1
88	16	3	1
88	66	3	-1
53	18	4	1
53	21	4	-1
36	19	4	1
84	19	4	-1
